Number,Neighborhood,Location,@Photos,Datetime,Crime,Weapon,Description
122,Downtown,"251 E 6th St, Los Angeles",HC-122.png,"12:45 a.m. June 14, 2019",Vandalism,No weapon used,"The suspect vandalized the Central Community Police Station, causing $399 worth of damage or less. The crime was reported as a hate crime with ""Anti-Other Race/Ethnicity/Ancestry"" and ""Anti-Jewish"" biases."
123,Lincoln Heights,"2600 block of N. Broadway, Los Angeles",HC-123.png,"9:10 a.m. June 14, 2019",Aggravated assault ,Unknown weapon ,"The suspect used profanities and swung their weapon at the seven-year-old Hispanic female victim, who was attacked based on her gender. The crime was classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. 
"
124,Lincoln Heights,"2600 block of N. Broadway, Los Angeles",HC-124.png,"9:10 a.m. June 14, 2019",Aggravated assault ,Unknown weapon,"The suspect used profanities and swung their weapon at the four-year-old Hispanic female victim, who was attacked because of her gender. The crime was classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. 
"
125,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-125.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the 38-year-old Hispanic female victim, who was attacked because of her gender. The crime was classified by the LAPD as a hate crime with an ""Anti-Hispanic or Latino"" bias. 
"
126,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-126.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the six-year-old Hispanic male victim, who was attacked because of his gender. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias."
127,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-127.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the four-year-old Hispanic female victim, who was attacked because of her gender. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias. "
128,Lincoln Heights ,"2600 block of N. Broadway, Los Angeles",HC-128.png,"9:10 a.m. June 14, 2019",Aggravated assault,Unknown weapon,"The suspect used profanities and swung their weapon at the 62-year-old homeless Hispanic female victim, who was attacked because of her gender. The crime was reported as a hate crime with an ""Anti-Hispanic or Latino"" bias."
129,West Adams,3045 S La Brea Ave. Los Angeles,HC-129.png,"5 p.m. June 14, 2019",Vandalism,No weapon used,"A suspect vandalized the property of the 18-year-old victim by spraying graffiti at Spalding Mortuary, causing $400 worth of damage or more. The crime was reported as a hate crime with an ""Anti-Black or African American"" bias. The victim was also targeted because of their gender. "
130,Chatsworth,"10027 Lurline Ave., Chatsworth",HC-130.png,"5:45 p.m. June 14, 2019",Burglary ,No weapon used,The suspect burglarized Chatsworth Charter High School and sprayed graffiti on the property. 
131,Hollywood Hills,"2700 block of Nichols Canyon Rd., Los Angeles",HC-131.png,9 p.m. June 14,Vandalism,No weapon used,"The suspect vandalized the house of a 54-year-old white male victim, causing $400 worth of damage or more. There was another victim, who is described below."
132,Hollywood Hills,"2700 block of Nichols Canyon Rd., Los Angeles",HC-132.png,9 p.m. June 14,Vandalism,No weapon used,"The suspect vandalized the house of a 52-year-old white male victim, causing $400 worth of damage or more."
133,Beverly Grove,"Intersection of 3rd St. and La Cienega Blvd., Los Angeles",HC-133.png,2:45 a.m. June 16,Battery - simple assault,Strong arm,"On the sidewalk, the suspect kicked the 32-year-old black male victim. There is photographic evidence of the crime."
134,Fairfax,"Intersection of West Melrose Ave. and North Visa Ave. , Los Angeles",HC-134.png,11:45 a.m. June 17,Battery - simple assault,Unknown weapon,"The homeless suspect spat at the 33-year-old white male victim, who was attacked because of his gender. The crime was reported as a hate crime with an ""Anti-White"" bias. 
"
135,Chinatown,"900 block of North Broadway, Los Angeles",HC-135.png,8 p.m. June 17,Vandalism,No weapon used,"The suspect vandalized the car of the 51-year-old white female victim while using racial slurs and hate-related language. The vandalism resulted in $400 worth of damage or more. The crime was reported as a hate crime with an ""Anti-Black or African American” bias."
136,Granada Hills,"16800 block of Devonshire St, Los Angeles",HC-136.png,12:45 p.m. June 18,Miscellaneous crime,No weapon used,"The suspect threatened to harm, but not kill, the 61-year-old black male victim while using profanities."
