Crime,Datetime,Description,Location_x,Neighborhood_x,Suspect Actions,Weapon,Number,@Photos,norm_date,Dr No,Area ID,Area Name,Crm Cd,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Crm Cd Desc,Cross Street,Date Occ,Date Rp Td,Latitude,Location_y,Location 1,Longitude,Mo Codes,Neighborhood_y,Neighborhood Council,Prem Is Cd,Prem Is Desc,Rpt Dist No,Status,Status Desc,Time Occ,Tract,Vict Age,Vict Descent,Vict Sex,Weapon Desc,Weapon Used Cd,Zip Code
Vandalism (Misdemeanor),"11:30 p.m. January 7, 2019","The suspect vandalized property at Marmion Apartments, resulting in damage of $400 or less.","3500 block of Marmion Way, Los Angeles",Cypress Park,Official hate crime,No weapon used,,,2019-01-07,191104376.0,,Northeast,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-01-07T00:00:00.000-08:00,2019-01-08T00:00:00.000-08:00,34.0871,3500 MARMION WY,0101000020E610000068B3EA73B58D5DC0A5BDC117260B4140,-118.2142,0903 1536 1539 2054,cypress-park,102.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1189.0,IC ,Invest Cont,2330.0,199000.0,0.0,X,X,,,90065.0
Simple Assault,"11 p.m. January 9, 2019","The suspect assaulted the 59-year-old black disabled male victim near the Wilshire/Vermont metro station, while shouting an ""unusual"" statement at him. The suspect did not know the victim prior to the crime.","3100 block of Wilshire Blvd., Los Angeles",Koreatown,Official hate crime,Strong-arm,,,2019-01-09,192004437.0,,Olympic,624.0,624.0,946.0,,,BATTERY - SIMPLE ASSAULT,,2019-01-09T00:00:00.000-08:00,2019-01-09T00:00:00.000-08:00,34.0652,3100 WILSHIRE BL,0101000020E61000007CF2B0506B925DC07FD93D7958084140,-118.2878,0359 1238 2057 1506 0305 0429 0903,koreatown,53.0,102.0,SIDEWALK,2029.0,IC ,Invest Cont,2300.0,211120.0,59.0,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90020.0
Aggravated assault,"5:25 p.m. Jan 10, 2019",The suspect assaulted the 18-year-old Latinx female victim with a vehicle.,"800 block of South La Brea Ave., Los Angeles",Mid-Wilshire,Official hate crime,,,,2019-01-10,190704461.0,,Wilshire,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-01-10T00:00:00.000-08:00,2019-01-10T00:00:00.000-08:00,34.0605,800 S LA BREA AV,0101000020E610000099BB96900F965DC039B4C876BE074140,-118.3447,0919 0903 2056 1516,mid-wilshire,58.0,122.0,"VEHICLE, PASSENGER/TRUCK",745.0,AA ,Adult Arrest,1725.0,216200.0,0.0,H,F,VEHICLE,307.0,90036.0
Vandalism (Misdemeanor),"2:30 p.m. January 11, 2019","The suspect vandalized the Carson-Gore Academy of Environmental Studies, resulting in damage of $400 or less.","3200 block of West Washington Blvd., Los Angeles",Arlington Heights,Official hate crime,No weapon used,,,2019-01-11,190700521.0,,Wilshire,745.0,745.0,946.0,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-01-11T00:00:00.000-08:00,2019-01-15T00:00:00.000-08:00,34.0399,3200 W WASHINGTON BL,0101000020E610000071AC8BDB68945DC0228E75711B054140,-118.3189,0329 0903 1414 1528 2053,arlington-heights,74.0,704.0,ELEMENTARY SCHOOL,789.0,IC ,Invest Cont,1430.0,218800.0,0.0,H,F,,,90018.0
Other assault,"3:55 p.m. January 14, 2019","The suspect spat on the 17-year-old white male victim, while using profanities and racial slurs. The victim was a student.","8500 block of West Pico Blvd., Los Angeles",Carthay,Official hate crime,Unknown weapon,,,2019-01-14,190804581.0,,West LA,625.0,625.0,,,,OTHER ASSAULT,,2019-01-14T00:00:00.000-08:00,2019-01-14T00:00:00.000-08:00,34.0534,8500 W PICO BL,0101000020E610000055302AA913985DC09FCDAACFD5064140,-118.3762,1251 1259 0319 2035 2053 1528 2004 0903 0356,carthay,61.0,102.0,SIDEWALK,859.0,AO ,Adult Other,1555.0,216401.0,17.0,W,M,UNKNOWN WEAPON/OTHER WEAPON,500.0,90035.0
Simple assault,"7:30 p.m. January 23, 2019",The suspect hit the 27-year-old Hispanic male victim with a stick while shouting profanities at him. Both the suspect and the victim were homeless.,"500 block of North Spring St., Los Angeles",Downtown,OffIcial hate crime,Stick,,,2019-01-23,190105506.0,,Central,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-01-23T00:00:00.000-08:00,2019-01-23T00:00:00.000-08:00,34.0572,500 N SPRING ST,0101000020E610000008AC1C5A648F5DC065AA605452074140,-118.2405,0903 1218 2004 0416 0319 2054 1539,downtown,46.0,102.0,SIDEWALK,111.0,IC ,Invest Cont,1930.0,207102.0,27.0,H,M,STICK,308.0,90012.0
Simple Assault,"3:30 p.m. January 24, 2019",The suspect attacked the 42-year-old transgender* white female victim. The suspect knew the victim prior to the crime and may be affiliated with a gang.,"Beverly-Union bus stop, Los Angeles",Westlake,Official hate crime,Strong-arm,,,2019-01-24,190205194.0,,Rampart,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,UNION,2019-01-24T00:00:00.000-08:00,2019-01-24T00:00:00.000-08:00,34.0637,BEVERLY,0101000020E6100000D42B6519E2905DC0AA60545227084140,-118.2638,0416 0446 0913 1509 1510 1536 0903 0910 2006 0906,westlake,97.0,124.0,BUS STOP,237.0,IC ,Invest Cont,1530.0,208301.0,42.0,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90026.0
Simple Assault,"3:30 p.m. January 24, 2019",The suspect attacked the 42-year-old transgender* white female victim. The suspect knew the victim prior to the crime and may be affiliated with a gang.,"Beverly-Union bus stop, Los Angeles",Westlake,Official hate crime,Strong-arm,,,2019-01-24,190205195.0,,Rampart,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,UNION,2019-01-24T00:00:00.000-08:00,2019-01-24T00:00:00.000-08:00,34.0637,BEVERLY,0101000020E6100000D42B6519E2905DC0AA60545227084140,-118.2638,0444 0913 1510 0903 0906 1539 2054,westlake,97.0,102.0,SIDEWALK,237.0,IC ,Invest Cont,1530.0,208301.0,41.0,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90026.0
Trespassing,"04:40 a.m. January 29, 2019",The suspect entered the Holy Martyrs Armenian High School without permission.,"5300 block of White Oak Ave., Los Angeles",Encino,Official hate crime,No weapon used,,,2019-01-29,191005203.0,,West Valley,888.0,888.0,998.0,,,TRESPASSING,,2019-01-29T00:00:00.000-08:00,2019-01-29T00:00:00.000-08:00,34.1674,5300 WHITE OAK AV,0101000020E610000029ED0DBE30A15DC0DAACFA5C6D154140,-118.5186,0903 1402 2055 1519,encino,18.0,721.0,HIGH SCHOOL,1067.0,IC ,Invest Cont,440.0,139504.0,0.0,O,M,,,91316.0
Vandalism (Misdemeanor),"09:30 a.m. January 29, 2019","The suspect vandalized the nearby Temple Judea synagogue, resulting in damage worth $400 or less.","5500 block of Reseda Blvd., Los Angeles",Tarzana,Official hate crime,No weapon used,,,2019-01-29,191005202.0,,West Valley,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-01-29T00:00:00.000-08:00,2019-01-29T00:00:00.000-08:00,34.1703,5500 RESEDA BL,0101000020E6100000FCA9F1D24DA25DC02041F163CC154140,-118.536,0329 0903 2053 1528,tarzana,17.0,730.0,SYNAGOGUE/TEMPLE,1063.0,IC ,Invest Cont,930.0,139401.0,0.0,W,M,,,91356.0
