Dr No,Area ID,Area Name,Crm Cd,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Crm Cd Desc,Cross Street,Date Occ,Date Rp Td,Latitude,Location,Location 1,Longitude,Mo Codes,Neighborhood,Neighborhood Council,Prem Is Cd,Prem Is Desc,Rpt Dist No,Status,Status Desc,Time Occ,Tract,Vict Age,Vict Descent,Vict Sex,Weapon Desc,Weapon Used Cd,Zip Code
181510373,,N Hollywood,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,LANKERSHIM,2018-05-01T00:00:00.000-07:00,2018-05-01T00:00:00.000-07:00,34.1722,BURBANK,0101000020E6100000C74B378941985DC0832F4CA60A164140,-118.379,0443 0906 0903 2004 2055 1514,north-hollywood,24,101,STREET,1535,AA ,Adult Arrest,0915,124204,51,B,M,VERBAL THREAT,511,91601
190112073,,Central,761,761,,,,BRANDISH WEAPON,,2019-04-25T00:00:00.000-07:00,2019-04-25T00:00:00.000-07:00,34.046,100 E 6TH ST,0101000020E610000024B9FC87F48F5DC0D9CEF753E3054140,-118.2493,2036 2054 1536 0917 0319 0421 0334 2004 1822 0903,downtown,52,203,OTHER BUSINESS,154,IC ,Invest Cont,1500,207302,32,W,M,OTHER KNIFE,207,90013
180809981,,West LA,761,761,930,,,BRANDISH WEAPON,,2018-05-04T00:00:00.000-07:00,2018-05-05T00:00:00.000-07:00,34.0343,300 ALMA REAL DR,0101000020E6100000F697DD9387A15DC05C2041F163044140,-118.5239,0903 0334 2003 1804 0917 2055 1516,pacific-palisades,,501,SINGLE FAMILY DWELLING,823,AA ,Adult Arrest,0820,262706,49,H,F,STICK,308,90272
191510096,,N Hollywood,745,745,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-04-27T00:00:00.000-07:00,2019-04-28T00:00:00.000-07:00,34.1649,5200 TUJUNGA BL,0101000020E6100000C74B378941985DC0228E75711B154140,-118.379,0903 2053 1514 2055 1528 0329,north-hollywood,24,738,LIBRARY,1548,IC ,Invest Cont,1740,125200,0,X,X,,,91601
181300642,,Newton,648,648,998,,,ARSON,,2018-05-05T00:00:00.000-07:00,2018-05-06T00:00:00.000-07:00,33.9985,1000 E 49TH PL,0101000020E6100000F1F44A5986905DC02B8716D9CEFF4040,-118.2582,0329 1300 2036 0311 1402 0903 2054 1538,south-park,125,101,STREET,1363,IC ,Invest Cont,1930,229200,37,H,F,,,90011
180124868,,Central,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-09-28T00:00:00.000-07:00,2018-09-29T00:00:00.000-07:00,34.0446,500 SAN JULIAN ST,0101000020E610000048E17A14AE8F5DC068B3EA73B5054140,-118.245,0416 0903 2054 1536 1218,downtown,52,101,STREET,156,IC ,Invest Cont,2000,206200,40,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90013
190809166,,West LA,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-04-29T00:00:00.000-07:00,2019-04-30T00:00:00.000-07:00,34.0373,9700 CATTARAUGUS AV,0101000020E6100000B6F3FDD478995DC00612143FC6044140,-118.398,2053 1528 0930 0329 0903,beverlywood,61,704,ELEMENTARY SCHOOL,886,IC ,Invest Cont,2200,269000,0,X,M,,,90034
180810249,,West LA,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,WOOSTER ST,2018-05-11T00:00:00.000-07:00,2018-05-11T00:00:00.000-07:00,34.0594,OLYMPIC BL,0101000020E6100000637FD93D79985DC0F2B0506B9A074140,-118.3824,0432 0903 0319 0421 0334 2035 2053 1528,pico-robertson,61,101,STREET,849,AA ,Adult Arrest,0245,216402,36,H,M,VERBAL THREAT,511,90035
181811540,,Southeast,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-05-14T00:00:00.000-07:00,2018-05-14T00:00:00.000-07:00,33.9329,11200 S FIGUEROA ST,0101000020E610000060764F1E16925DC01D38674469F74040,-118.2826,0906 2004 0903 0421 0913 2054 1536,vermont-vista,90,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1842,AA ,Adult Arrest,1200,241202,26,B,M,VERBAL THREAT,511,90044
190611285,,Hollywood,624,624,946,,,BATTERY - SIMPLE ASSAULT,,2019-05-06T00:00:00.000-07:00,2019-05-06T00:00:00.000-07:00,34.0998,6100 W SUNSET BL,0101000020E6100000B8AF03E78C945DC00612143FC60C4140,-118.3211,0903 0400 0416 0417,hollywood,33,210,RESTAURANT/FAST FOOD,647,AO ,Adult Other,2225,191000,40,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90028
