word,mean,counts,pos
aaron,0.3500897666068223,557,NN
abandon,0.35807860262008734,687,VB
abandoned,0.3307543520309478,2068,VBN
abandoning,0.3854166666666667,288,VBG
abc,0.3366600133067199,1503,NN
abducted,0.3502454991816694,611,VBN
abduction,0.3231441048034934,458,NN
abdul,0.33687002652519893,377,JJ
abdullah,0.39348370927318294,399,VBN
abide,0.41947565543071164,267,VB
ability,0.34498620055197793,3261,NN
able,0.3482546201232033,7305,JJ
abner,0.3524355300859599,349,NN
aboard,0.36181575433911883,749,IN
abolish,0.32646048109965636,291,VB
abolished,0.3273381294964029,278,VBN
abortion,0.353937168502652,4902,NN
abortions,0.35,900,NNS
abraham,0.3333333333333333,612,UH
abrams,0.3363886342804766,1091,NNS
abroad,0.3548698167791707,2074,RB
abruptly,0.362763915547025,521,RB
absence,0.3489984591679507,1298,NN
absent,0.3644524236983842,557,JJ
absolute,0.32456140350877194,684,JJ
absolutely,0.3436619718309859,1775,RB
abstract,0.364656381486676,713,JJ
absurd,0.35650224215246634,446,JJ
abu,0.34901625320787,1169,UH
abuse,0.34986098239110286,6474,NN
abused,0.38264580369843526,1406,VBD
abusers,0.39948453608247425,388,NNS
abuses,0.3521505376344086,1860,NNS
abusing,0.36807095343680707,451,VBG
abusive,0.375,640,JJ
academic,0.33634719710669075,1106,JJ
academy,0.35074290859972984,2221,NN
accent,0.3728395061728395,405,NN
accept,0.3637206427688504,3236,VB
acceptable,0.3333333333333333,684,JJ
acceptance,0.33962264150943394,636,NN
accepted,0.33925268220495747,2703,VBN
accepting,0.3560732113144759,1202,VBG
access,0.36131114973926,4027,NN
accessible,0.3541666666666667,432,JJ
accident,0.3418848167539267,1910,NN
accidental,0.35843373493975905,332,JJ
accidentally,0.35764705882352943,425,RB
accidents,0.3525073746312684,678,NNS
acclaimed,0.32967032967032966,273,VBN
accommodate,0.35543766578249336,377,JJ
accompanied,0.354978354978355,1386,VBN
accompanying,0.3449367088607595,632,VBG
accomplice,0.38193018480492813,487,NN
accomplices,0.3605015673981191,319,NNS
accomplish,0.36525612472160357,449,VB
accomplished,0.33293838862559244,844,VBN
accomplishment,0.36917562724014336,279,JJ
accomplishments,0.37261698440207974,577,NNS
accord,0.3618974751338944,1307,NN
according,0.34641015968816796,15906,VBG
accords,0.39351851851851855,432,NNS
account,0.3541781959048146,5421,NN
accountability,0.32673267326732675,707,NN
accountable,0.3435448577680525,914,JJ
accountant,0.33472803347280333,478,NN
accounted,0.35728952772073924,487,VBD
accounting,0.3495095508518327,1937,NN
accounts,0.3646653543307087,4064,NNS
accumulated,0.3435114503816794,262,VBN
accuracy,0.3585434173669468,357,NN
accurate,0.3738191632928475,741,JJ
accurately,0.3285198555956679,277,RB
accusation,0.32105263157894737,760,NN
accusations,0.3586683417085427,3184,NNS
accuse,0.3328290468986384,661,NN
accused,0.35062692394323897,13319,VBN
accuses,0.35108958837772397,413,VBZ
accusing,0.36372007366482506,1086,VBG
accustomed,0.35584415584415585,385,VBN
achieve,0.35576036866359445,1085,VB
achieved,0.3379237288135593,944,VBN
achievement,0.38438880706921946,679,NN
achievements,0.3274336283185841,452,NNS
achieving,0.36917562724014336,279,VBG
acknowledge,0.369901547116737,1422,VB
acknowledged,0.3558155540261528,4359,VBN
acknowledges,0.35084033613445376,476,VBZ
acknowledging,0.38434163701067614,562,VBG
acquaintance,0.39106145251396646,358,NN
acquaintances,0.3377659574468085,376,NNS
acquire,0.3418803418803419,468,VB
acquired,0.37623762376237624,808,VBN
acquittal,0.35499398315282793,831,JJ
acquitted,0.3515501839201261,1903,VBN
acre,0.3487858719646799,453,NN
acres,0.3380281690140845,639,NNS
act,0.35475333474486553,9446,VB
acted,0.3707423580786026,2290,VBN
acting,0.34922279792746114,3860,VBG
action,0.3451995685005394,9270,NN
actions,0.3414907947911989,4454,NNS
active,0.34637134778510836,2122,JJ
actively,0.3333333333333333,447,RB
activist,0.3310696095076401,589,NN
activists,0.37791601866251945,643,NNS
activities,0.34908136482939633,4191,NNS
activity,0.3382507903055848,2847,NN
actor,0.3531322505800464,2155,NN
actors,0.3401191658391261,2014,NNS
actress,0.36789297658862874,1196,NN
acts,0.35381964388282594,3482,NNS
actual,0.3490566037735849,1378,JJ
actually,0.355188884064264,4606,RB
acute,0.35730858468677495,431,JJ
ad,0.3568075117370892,1278,NN
adam,0.3610567514677104,1022,VBN
adams,0.35294117647058826,1105,NNS
adaptation,0.3908256880733945,1090,NN
adapted,0.37552155771905427,719,VBN
add,0.34951923076923075,2080,VB
added,0.3538265509277694,12557,VBN
addict,0.3563714902807775,463,VB
addicted,0.3123209169054441,349,VBN
addiction,0.362087326943557,939,NN
addicts,0.3462099125364432,1372,NNS
adding,0.3610765013705457,4013,VBG
addition,0.34796712802768165,4624,NN
additional,0.35451408855664174,3478,JJ
address,0.34346368715083797,4475,NN
addressed,0.324,1250,VBN
addresses,0.36261261261261263,888,NNS
addressing,0.33254716981132076,848,VBG
adds,0.3498312710911136,889,VBZ
adequate,0.3680823680823681,777,JJ
adequately,0.3799019607843137,408,RB
adjacent,0.38622754491017963,334,JJ
adjust,0.27450980392156865,255,VB
administered,0.3240506329113924,395,VBN
administration,0.34766476235349547,16979,NN
administrations,0.36533957845433257,427,NNS
administrative,0.3467916366258111,1387,JJ
administrator,0.35501066098081024,938,NN
administrators,0.3411458333333333,768,NNS
admiration,0.358695652173913,276,NN
admired,0.298050139275766,359,VBN
admission,0.35805012015104704,2913,NN
admissions,0.3383947939262473,461,NNS
admit,0.34717607973421927,1204,VB
admits,0.359026369168357,493,VBZ
admitted,0.3588139281828074,3676,VBN
admitting,0.3347022587268994,487,VBG
adolescent,0.30113636363636365,352,JJ
adopt,0.3530120481927711,830,VB
adopted,0.3716129032258065,2325,VBN
adopting,0.3644859813084112,321,VBG
adoption,0.3627254509018036,499,NN
ads,0.36519607843137253,1224,NNS
adult,0.34332833583208394,2668,NN
adults,0.35031000885739594,2258,NNS
advance,0.34921259842519686,2540,NN
advanced,0.33297872340425533,940,JJ
advancement,0.3457142857142857,350,NN
advances,0.38911290322580644,496,NNS
advantage,0.3518416712479384,1819,NN
advantages,0.32081911262798635,293,NNS
adventure,0.3633217993079585,578,NN
adventures,0.32460732984293195,382,NNS
advertisement,0.35013262599469497,754,NN
advertisements,0.3576158940397351,1057,NNS
advertising,0.34480179506357517,2674,NN
advice,0.37485907553551295,1774,NN
advise,0.37423312883435583,326,VB
advised,0.3296432964329643,813,VBN
adviser,0.3554585152838428,2290,NN
advisers,0.35584263065179095,1703,NNS
advising,0.30407523510971785,319,VBG
advisory,0.3438985736925515,631,JJ
advocacy,0.3798670465337132,1053,NN
advocate,0.3318804483188045,1606,NN
advocated,0.34332425068119893,367,VBN
advocates,0.35151116951379763,3044,NNS
advocating,0.36860068259385664,293,VBG
affair,0.36492890995260663,2321,NN
affairs,0.34708670197936997,3587,NNS
affect,0.3485838779956427,1377,VB
affected,0.3605769230769231,1248,VBN
affecting,0.35181975736568455,577,VBG
affection,0.3388235294117647,425,NN
affects,0.35060975609756095,328,VBZ
affidavit,0.351985559566787,1108,VB
affiliated,0.4109947643979058,382,VBN
affirmative,0.33900928792569657,646,JJ
affirmed,0.41580756013745707,291,VBN
affluent,0.37613293051359514,662,JJ
afford,0.33624454148471616,1603,VB
affordable,0.38552188552188554,594,JJ
afghan,0.35124378109452736,1005,JJ
afghanistan,0.35469107551487417,2622,NN
afraid,0.3639240506329114,2212,JJ
africa,0.3657736468015309,3658,NN
african,0.3647425014148274,3534,JJ
africanamerican,0.35171790235081374,1106,JJ
africanamericans,0.316,500,NNS
africans,0.352112676056338,497,NNS
aftermath,0.36847946725860153,901,NN
afternoon,0.34897630549804465,4347,NN
afterward,0.35254491017964074,1336,RB
age,0.3609179415855355,5752,NN
aged,0.3515850144092219,347,VBN
agence,0.33793103448275863,290,NN
agencies,0.337390263367917,5012,NNS
agency,0.3532310449098443,8929,NN
agenda,0.37932625749884635,2167,NN
agent,0.34639423076923076,4160,NN
agents,0.35424764019988897,7204,NNS
ages,0.35506003430531735,1166,NNS
aggravated,0.31689272503082616,811,VBN
aggression,0.3911719939117199,657,NN
aggressive,0.3364222401289283,2482,JJ
aggressively,0.34265734265734266,858,RB
aging,0.34826589595375723,692,VBG
ago,0.3566958698372966,20774,RB
agree,0.35513221495592834,3517,VBP
agreed,0.3623488773747841,8685,VBD
agreeing,0.3651877133105802,586,VBG
