word,mean,counts
aaron,1.0,1
abandon,0.5,8
abandoned,0.6333333333333333,30
abandoning,0.3333333333333333,3
abc,0.5384615384615384,13
abducted,0.7857142857142857,14
abduction,1.0,3
abdul,0.6666666666666666,3
abdullah,1.0,1
abide,1.0,2
ability,0.6304347826086957,46
able,0.6722689075630253,119
aboard,0.75,8
abolish,0.75,4
abolished,0.8888888888888888,9
abortion,0.5675675675675675,37
abortions,0.3333333333333333,3
abraham,0.3333333333333333,9
abrams,0.6382978723404256,47
abroad,0.7333333333333333,60
abruptly,0.5,4
absence,0.696969696969697,33
absent,0.375,8
absolute,0.6153846153846154,13
absolutely,0.75,40
abstract,0.2857142857142857,14
absurd,0.5714285714285714,7
abuse,0.6756756756756757,111
abused,0.6739130434782609,46
abusers,0.6666666666666666,6
abuses,0.6818181818181818,44
abusing,0.4,5
abusive,0.8571428571428571,7
academic,0.7857142857142857,14
academy,0.648936170212766,94
accent,0.5454545454545454,11
accept,0.5942028985507246,69
acceptable,0.875,16
acceptance,0.7142857142857143,14
accepted,0.5857142857142857,70
accepting,0.6363636363636364,22
access,0.527027027027027,74
accessible,0.42857142857142855,7
accident,0.6538461538461539,26
accidental,0.6666666666666666,3
accidentally,0.6363636363636364,11
accidents,0.6111111111111112,18
acclaimed,1.0,2
accommodate,0.3333333333333333,6
accompanied,0.6129032258064516,31
accompanying,0.6666666666666666,6
accomplice,0.6363636363636364,11
accomplices,0.75,12
accomplish,0.6666666666666666,6
accomplished,0.42857142857142855,7
accomplishment,0.4,5
accomplishments,0.6,5
accord,0.6666666666666666,24
according,0.6594761171032357,649
accords,1.0,2
account,0.6363636363636364,132
accountability,0.7333333333333333,15
accountable,0.4166666666666667,12
accountant,0.7,10
accounted,0.625,8
accounting,0.5882352941176471,17
accounts,0.6526315789473685,95
accumulated,0.6666666666666666,6
accuracy,0.25,4
accurate,0.9375,16
accurately,0.625,8
accusation,0.2727272727272727,11
accusations,0.6666666666666666,48
accuse,0.5,14
accused,0.6843853820598007,301
accuses,0.75,8
accusing,0.47619047619047616,21
accustomed,0.7,10
achieve,0.3333333333333333,18
achieved,0.64,25
achievement,0.6,15
achievements,0.75,8
achieving,0.75,4
acknowledge,0.5357142857142857,28
acknowledged,0.6741573033707865,89
acknowledges,0.5714285714285714,7
acknowledging,0.5714285714285714,7
acquaintance,0.5,4
acquaintances,1.0,7
acquire,0.625,8
acquired,0.6666666666666666,27
acquittal,0.5925925925925926,27
acquitted,0.6285714285714286,70
acre,0.5,10
acres,0.5,8
act,0.6622807017543859,228
acted,0.75,68
acting,0.63,100
action,0.6565656565656566,198
actions,0.635593220338983,118
active,0.68,50
actively,0.7777777777777778,9
activist,0.4,5
activists,0.5714285714285714,7
activities,0.6052631578947368,152
activity,0.625,56
actor,0.6451612903225806,31
actors,0.625,24
actress,0.6666666666666666,33
acts,0.7058823529411765,102
actual,0.5172413793103449,29
actually,0.6703296703296703,91
acute,0.6666666666666666,6
ad,1.0,2
adam,0.8571428571428571,7
adams,0.5555555555555556,18
adaptation,0.5,6
adapted,1.0,4
add,0.7941176470588235,34
added,0.6230769230769231,260
addict,0.42857142857142855,7
addicted,0.75,4
addiction,0.6666666666666666,12
addicts,0.6363636363636364,44
adding,0.6190476190476191,63
addition,0.624,125
additional,0.5217391304347826,69
address,0.6666666666666666,72
addressed,0.6666666666666666,15
addresses,0.875,8
addressing,0.38461538461538464,13
adds,0.782608695652174,23
adequate,0.5,14
adequately,0.8333333333333334,6
adjacent,0.3333333333333333,6
adjust,0.8,5
administered,0.7857142857142857,14
administration,0.6237623762376238,303
administrations,0.5,6
administrative,0.6451612903225806,31
administrator,0.6818181818181818,22
administrators,0.8333333333333334,12
admiration,0.5,6
admired,1.0,7
admission,0.625,32
admissions,0.8571428571428571,7
admit,0.4090909090909091,22
admits,0.5789473684210527,19
admitted,0.5681818181818182,88
admitting,0.8461538461538461,13
adolescent,0.7777777777777778,9
adopt,0.8181818181818182,11
adopted,0.813953488372093,43
adopting,0.2857142857142857,7
adoption,0.7,10
ads,0.6363636363636364,11
adult,0.625,32
adults,0.6290322580645161,62
advance,0.5,32
advanced,0.625,16
advancement,1.0,10
advances,0.6363636363636364,11
advantage,0.6875,32
advantages,0.8333333333333334,6
adventure,0.3333333333333333,12
adventures,0.3333333333333333,3
advertisement,0.8,5
advertisements,0.6190476190476191,21
advertising,0.6944444444444444,36
advice,0.6382978723404256,47
advise,0.7,10
advised,0.6521739130434783,23
adviser,0.631578947368421,57
advisers,0.6363636363636364,22
advising,0.8571428571428571,7
advisory,0.5185185185185185,27
advocacy,0.6153846153846154,13
advocate,0.7857142857142857,14
advocated,0.6,10
advocates,0.5945945945945946,37
advocating,0.4,5
affair,0.6390977443609023,133
affairs,0.6486486486486487,74
affect,0.4782608695652174,23
affected,0.7,30
affecting,0.6666666666666666,12
affection,0.5454545454545454,11
affects,0.3,10
affidavit,0.8181818181818182,11
affiliated,0.3333333333333333,6
affirmative,0.25,8
affirmed,0.8333333333333334,6
affluent,0.75,12
afford,0.5238095238095238,21
affordable,0.8333333333333334,12
afghan,0.625,8
afghanistan,0.6666666666666666,9
afraid,0.6857142857142857,35
africa,0.6538461538461539,52
african,0.7058823529411765,34
africans,0.6666666666666666,3
aftermath,0.6363636363636364,11
afternoon,0.6349206349206349,63
afterward,0.7,20
age,0.5846153846153846,130
aged,0.8333333333333334,12
agence,1.0,1
agencies,0.6134453781512605,119
agency,0.6225490196078431,204
agenda,0.7419354838709677,31
agent,0.5555555555555556,90
agents,0.674074074074074,135
ages,0.8235294117647058,17
aggravated,0.7,20
aggression,0.8181818181818182,11
aggressive,0.7111111111111111,45
aggressively,0.5555555555555556,9
aging,0.7272727272727273,11
ago,0.6694677871148459,357
agree,0.6415094339622641,53
agreed,0.6743119266055045,218
agreeing,0.6,15
agreement,0.5963302752293578,109
agreements,0.6,25
agrees,0.8,10
agricultural,0.3076923076923077,13
agriculture,0.8235294117647058,17
ahead,0.42857142857142855,42
ahmed,1.0,3
aid,0.584070796460177,113
aide,0.5694444444444444,72
aided,0.6,10
aides,0.7567567567567568,74
aiding,0.6923076923076923,13
aids,0.6589861751152074,217
ailing,0.75,4
aim,0.7777777777777778,18
aimed,0.7058823529411765,51
aims,0.42857142857142855,7
air,0.5963302752293578,109
aircraft,0.6666666666666666,21
airline,0.7,20
airlines,0.6666666666666666,24
airplane,0.8,10
airport,0.7678571428571429,56
airports,1.0,6
al,0.4,15
ala,0.5,4
alabama,0.6666666666666666,12
alan,0.5238095238095238,42
alarm,0.75,4
alarmed,0.3333333333333333,6
alarming,0.5555555555555556,9
alarms,0.4,5
alaska,0.25,4
albanian,1.0,1
albany,0.68,25
albeit,0.5,4
albert,0.7692307692307693,13
alberto,0.5,2
